passaporte_num,sobrenome,nome,data_nasc,sexo,naturalidade,filiacao1,filiacao2,autoridade,data_expedicao,valido_ate,mrz_linha1,mrz_linha2,rg,nome_assinatura
KK213203,SOUZA,JULIA,05/02/1956,F,LIMA/CE,LEONARDO SILVEIRA,LUIZ GUSTAVO PIMENTA,SR/PF/CE,29/09/2024,27/09/2034,P<USASOUZA<<JULIA<<<<<<<<<<<<<<<<<<<<<<<<<<<,KK213203<7USA5602058F340927<<<<<<<<<<<<<<<<<,301427562,Julia Souza
PL682616,BORGES,ELOA,29/12/2006,F,LEAO DO NORTE/MS,DR. BERNARDO CORREIA,LUIZ GUSTAVO MACHADO,SR/PF/MS,25/05/2022,22/05/2032,P<USABORGES<<ELOA<<<<<<<<<<<<<<<<<<<<<<<<<<<,PL682616<7USA0612298F320522<<<<<<<<<<<<<<<<<,613258745,Eloa Borges
VH300956,DA COSTA,STEPHANY,19/01/1998,F,PIRES ALEGRE/PB,JOAO FELIPE FONSECA,SRA. MARIA SOPHIA FOGACA,SR/PF/PB,08/07/2025,06/07/2035,P<USADA<COSTA<<STEPHANY<<<<<<<<<<<<<<<<<<<<<,VH300956<7USA9801198F350706<<<<<<<<<<<<<<<<<,637451284,Stephany Da Costa
RU014983,SILVA,JOSE MIGUEL,20/11/1996,M,ARAUJO/PA,DR. KEVIN PINTO,VITOR GABRIEL CAMPOS,SR/PF/PA,19/08/2025,17/08/2035,P<USASILVA<<JOSE<MIGUEL<<<<<<<<<<<<<<<<<<<<<,RU014983<7USA9611208M350817<<<<<<<<<<<<<<<<<,478156200,Jose Miguel Silva
JP694440,CORREIA,OLIVER,13/04/2000,M,ROCHA/PI,RHAVI COSTELA,BENICIO DA ROCHA,SR/PF/PI,02/09/2022,30/08/2032,P<USACORREIA<<OLIVER<<<<<<<<<<<<<<<<<<<<<<<<,JP694440<7USA0004138M320830<<<<<<<<<<<<<<<<<,30582417X,Oliver Correia
BX830085,VIANA,BRENO,21/10/1973,M,RAMOS/AL,ALEXIA FARIAS,KEVIN LEAO,SR/PF/AL,14/09/2022,11/09/2032,P<USAVIANA<<BRENO<<<<<<<<<<<<<<<<<<<<<<<<<<<,BX830085<7USA7310218M320911<<<<<<<<<<<<<<<<<,574806131,Breno Viana
KT147072,MONTENEGRO,RAVY,29/01/1987,M,CAMARGO GRANDE/ES,JOAO CARDOSO,AMANDA SIQUEIRA,SR/PF/ES,03/06/2025,01/06/2035,P<USAMONTENEGRO<<RAVY<<<<<<<<<<<<<<<<<<<<<<<,KT147072<7USA8701298M350601<<<<<<<<<<<<<<<<<,024761539,Ravy Montenegro
PV218867,GARCIA,CLARICE,04/07/1991,F,SAMPAIO DE CASTRO/MS,SR. RYAN DA ROCHA,SRTA. VITORIA NOGUEIRA,SR/PF/MS,03/10/2025,01/10/2035,P<USAGARCIA<<CLARICE<<<<<<<<<<<<<<<<<<<<<<<<,PV218867<7USA9107048F351001<<<<<<<<<<<<<<<<<,21860547X,Clarice Garcia
UK146977,APARECIDA,GAEL HENRIQUE,28/02/2003,M,CAMPOS DO OESTE/SP,THOMAS ARAGAO,SRTA. ALANA SOUZA,SR/PF/SP,30/10/2025,28/10/2035,P<USAAPARECIDA<<GAEL<HENRIQUE<<<<<<<<<<<<<<<,UK146977<7USA0302288M351028<<<<<<<<<<<<<<<<<,185762049,Gael Henrique Aparecida
DX805880,SILVEIRA,JOSE MIGUEL,24/02/1997,M,GARCIA/AP,GABRIELA DA MOTA,LAURA JESUS,SR/PF/AP,24/05/2021,22/05/2031,P<USASILVEIRA<<JOSE<MIGUEL<<<<<<<<<<<<<<<<<<,DX805880<7USA9702248M310522<<<<<<<<<<<<<<<<<,640718358,Jose Miguel Silveira
KQ708203,DA CUNHA,ELISA,08/01/1980,F,PIMENTA/PB,LUIZ FELIPE CAVALCANTI,PEDRO HENRIQUE DAS NEVES,SR/PF/PB,24/09/2022,21/09/2032,P<USADA<CUNHA<<ELISA<<<<<<<<<<<<<<<<<<<<<<<<,KQ708203<7USA8001088F320921<<<<<<<<<<<<<<<<<,574302165,Elisa Da Cunha
OG147227,MACEDO,LARA,11/08/2002,F,CAMARA/CE,BENICIO ROCHA,HELOISA DA MOTA,SR/PF/CE,19/11/2025,17/11/2035,P<USAMACEDO<<LARA<<<<<<<<<<<<<<<<<<<<<<<<<<<,OG147227<7USA0208118F351117<<<<<<<<<<<<<<<<<,346718521,Lara Macedo
HZ247287,DA ROSA,VINICIUS,03/12/1952,M,ALMEIDA/DF,ANTHONY SAMPAIO,LORENZO FREITAS,SR/PF/DF,18/03/2025,16/03/2035,P<USADA<ROSA<<VINICIUS<<<<<<<<<<<<<<<<<<<<<<,HZ247287<7USA5212038M350316<<<<<<<<<<<<<<<<<,674152839,Vinicius Da Rosa
XH403511,REZENDE,LUANA,22/03/1994,F,FONSECA DAS PEDRAS/BA,ISIS SANTOS,MARIA ISIS ALVES,SR/PF/BA,09/11/2024,07/11/2034,P<USAREZENDE<<LUANA<<<<<<<<<<<<<<<<<<<<<<<<<,XH403511<7USA9403228F341107<<<<<<<<<<<<<<<<<,584207360,Luana Rezende
QR482299,GONCALVES,ASAFE,06/04/1976,M,DIAS DE RAMOS/CE,CAUA TEIXEIRA,LAURA LEAO,SR/PF/CE,23/01/2024,20/01/2034,P<USAGONCALVES<<ASAFE<<<<<<<<<<<<<<<<<<<<<<<,QR482299<7USA7604068M340120<<<<<<<<<<<<<<<<<,612357806,Asafe Goncalves
BO105370,PEIXOTO,LARA,26/10/1984,F,NOGUEIRA/ES,SRTA. EVELYN LEAO,RENAN PASTOR,SR/PF/ES,11/05/2022,08/05/2032,P<USAPEIXOTO<<LARA<<<<<<<<<<<<<<<<<<<<<<<<<<,BO105370<7USA8410268F320508<<<<<<<<<<<<<<<<<,54621387X,Lara Peixoto
UI009130,COSTELA,ANTONIO,24/09/2007,M,DA CUNHA/SP,CAUA GOMES,ARTHUR NUNES,SR/PF/SP,14/07/2024,12/07/2034,P<USACOSTELA<<ANTONIO<<<<<<<<<<<<<<<<<<<<<<<,UI009130<7USA0709248M340712<<<<<<<<<<<<<<<<<,670835122,Antonio Costela
FE212671,LOPES,HENRIQUE,17/11/1965,M,AZEVEDO DO CAMPO/PB,BENICIO ALVES,BENICIO GOMES,SR/PF/PB,01/08/2025,30/07/2035,P<USALOPES<<HENRIQUE<<<<<<<<<<<<<<<<<<<<<<<<,FE212671<7USA6511178M350730<<<<<<<<<<<<<<<<<,214085636,Henrique Lopes
FF803475,ALBUQUERQUE,IAN,16/01/1960,M,FERREIRA/PA,HEITOR ABREU,LUCAS GABRIEL LOPES,SR/PF/PA,24/07/2021,22/07/2031,P<USAALBUQUERQUE<<IAN<<<<<<<<<<<<<<<<<<<<<<<,FF803475<7USA6001168M310722<<<<<<<<<<<<<<<<<,126504738,Ian Albuquerque
XZ163677,CAMPOS,DAVI,01/11/1962,M,LEAO DO GALHO/SC,SAMUEL DA CUNHA,IAN JESUS,SR/PF/SC,25/06/2025,23/06/2035,P<USACAMPOS<<DAVI<<<<<<<<<<<<<<<<<<<<<<<<<<<,XZ163677<7USA6211018M350623<<<<<<<<<<<<<<<<<,238741503,Davi Campos
YH617783,DA ROSA,DANIEL,13/01/2000,M,DA MOTA/PE,DOM CAVALCANTI,SRTA. MAYSA DA MATA,SR/PF/PE,01/10/2021,29/09/2031,P<USADA<ROSA<<DANIEL<<<<<<<<<<<<<<<<<<<<<<<<,YH617783<7USA0001138M310929<<<<<<<<<<<<<<<<<,430658126,Daniel Da Rosa
JH260948,GUERRA,LAURA,09/05/2001,F,MACEDO DOS DOURADOS/TO,MATEUS CARDOSO,THOMAS DA MOTA,SR/PF/TO,17/09/2021,15/09/2031,P<USAGUERRA<<LAURA<<<<<<<<<<<<<<<<<<<<<<<<<<,JH260948<7USA0105098F310915<<<<<<<<<<<<<<<<<,28310756X,Laura Guerra
OW131464,CALDEIRA,MARIA CLARA,21/04/1995,F,DA ROCHA/AP,SRTA. SOFIA SOUZA,ANNA LIZ CASSIANO,SR/PF/AP,26/11/2024,24/11/2034,P<USACALDEIRA<<MARIA<CLARA<<<<<<<<<<<<<<<<<<,OW131464<7USA9504218F341124<<<<<<<<<<<<<<<<<,123856048,Maria Clara Caldeira
LE281101,DAS NEVES,MARIANA,08/11/1969,F,ARAUJO/GO,LORENA CASTRO,CECILIA PIRES,SR/PF/GO,17/11/2022,14/11/2032,P<USADAS<NEVES<<MARIANA<<<<<<<<<<<<<<<<<<<<<,LE281101<7USA6911088F321114<<<<<<<<<<<<<<<<<,586024311,Mariana Das Neves
NL757311,CAMARA,MELINA,26/03/2006,F,DA ROSA/AL,PEDRO CUNHA,DAVI MACHADO,SR/PF/AL,10/12/2022,07/12/2032,P<USACAMARA<<MELINA<<<<<<<<<<<<<<<<<<<<<<<<<,NL757311<7USA0603268F321207<<<<<<<<<<<<<<<<<,610532789,Melina Camara
DR702746,CARDOSO,THOMAS,08/04/1970,M,MORAES DAS FLORES/RO,DRA. CAMILA AZEVEDO,SRA. LUISA RIOS,SR/PF/RO,29/03/2022,26/03/2032,P<USACARDOSO<<THOMAS<<<<<<<<<<<<<<<<<<<<<<<<,DR702746<7USA7004088M320326<<<<<<<<<<<<<<<<<,473182658,Thomas Cardoso
UM795686,MELO,DANTE,02/11/1970,M,DA ROSA/MG,ZOE SILVEIRA,SRA. BEATRIZ DA LUZ,SR/PF/MG,25/06/2024,23/06/2034,P<USAMELO<<DANTE<<<<<<<<<<<<<<<<<<<<<<<<<<<<,UM795686<7USA7011028M340623<<<<<<<<<<<<<<<<<,785236016,Dante Melo
NW473470,AZEVEDO,HELOISA,08/08/1997,F,MOREIRA DAS PEDRAS/RR,OTTO MORAES,GABRIELLY PACHECO,SR/PF/RR,14/04/2023,11/04/2033,P<USAAZEVEDO<<HELOISA<<<<<<<<<<<<<<<<<<<<<<<,NW473470<7USA9708088F330411<<<<<<<<<<<<<<<<<,658741032,Heloisa Azevedo
LL575607,VASCONCELOS,LUCAS,05/09/1969,M,ROCHA DA PRATA/MT,MARIANE SA,BENJAMIM DA CRUZ,SR/PF/MT,27/05/2024,25/05/2034,P<USAVASCONCELOS<<LUCAS<<<<<<<<<<<<<<<<<<<<<,LL575607<7USA6909058M340525<<<<<<<<<<<<<<<<<,035867218,Lucas Vasconcelos
CJ070453,GONCALVES,LUARA,03/04/1994,F,GOMES/MA,JOSE PEDRO RIBEIRO,SR. LUIZ GUSTAVO MACHADO,SR/PF/MA,23/05/2023,20/05/2033,P<USAGONCALVES<<LUARA<<<<<<<<<<<<<<<<<<<<<<<,CJ070453<7USA9404038F330520<<<<<<<<<<<<<<<<<,187653045,Luara Goncalves
HG253234,CAMARA,JOAO LUCAS,19/06/1996,M,SAMPAIO DE PASTOR/PI,ALANA DUARTE,EMANUEL MENDONCA,SR/PF/PI,13/07/2023,10/07/2033,P<USACAMARA<<JOAO<LUCAS<<<<<<<<<<<<<<<<<<<<<,HG253234<7USA9606198M330710<<<<<<<<<<<<<<<<<,641538029,Joao Lucas Camara
YB233721,GUERRA,SOFIA,05/11/1966,F,OLIVEIRA/MT,ISAQUE CASTRO,VINICIUS DA LUZ,SR/PF/MT,08/04/2021,06/04/2031,P<USAGUERRA<<SOFIA<<<<<<<<<<<<<<<<<<<<<<<<<<,YB233721<7USA6611058F310406<<<<<<<<<<<<<<<<<,827543165,Sofia Guerra
ZS464415,NOVAES,EMANUELLA,29/03/1998,F,MOURA DOS DOURADOS/AP,BRUNO DA COSTA,SRA. MARCELA CAVALCANTI,SR/PF/AP,24/05/2025,22/05/2035,P<USANOVAES<<EMANUELLA<<<<<<<<<<<<<<<<<<<<<<,ZS464415<7USA9803298F350522<<<<<<<<<<<<<<<<<,48765013X,Emanuella Novaes
OH269710,SALES,PEDRO HENRIQUE,19/08/1976,M,AZEVEDO ALEGRE/CE,ARTHUR CASTRO,RAFAELA NOVAIS,SR/PF/CE,01/01/2021,30/12/2030,P<USASALES<<PEDRO<HENRIQUE<<<<<<<<<<<<<<<<<<,OH269710<7USA7608198M301230<<<<<<<<<<<<<<<<<,053718422,Pedro Henrique Sales
EH617259,MOURA,ISABELA,15/05/1973,F,NOGUEIRA DE SILVA/AL,MARIAH MACEDO,MARIA CLARA FERNANDES,SR/PF/AL,31/03/2022,28/03/2032,P<USAMOURA<<ISABELA<<<<<<<<<<<<<<<<<<<<<<<<<,EH617259<7USA7305158F320328<<<<<<<<<<<<<<<<<,201576831,Isabela Moura
NB858713,ROCHA,CAROLINE,04/04/1973,F,CALDEIRA/ES,LIVIA OLIVEIRA,BERNARDO COSTA,SR/PF/ES,06/09/2021,04/09/2031,P<USAROCHA<<CAROLINE<<<<<<<<<<<<<<<<<<<<<<<<,NB858713<7USA7304048F310904<<<<<<<<<<<<<<<<<,862374017,Caroline Rocha
HU273875,CIRINO,ANA SOPHIA,25/10/1996,F,CAVALCANTE DAS FLORES/PA,LETICIA CASSIANO,MARIA EDUARDA PEIXOTO,SR/PF/PA,20/08/2024,18/08/2034,P<USACIRINO<<ANA<SOPHIA<<<<<<<<<<<<<<<<<<<<<,HU273875<7USA9610258F340818<<<<<<<<<<<<<<<<<,783564211,Ana Sophia Cirino
WJ373978,SILVEIRA,SARA,28/04/1966,F,REZENDE PAULISTA/MA,SR. CALEB FOGACA,SRTA. ISABELLA CAVALCANTI,SR/PF/MA,07/11/2023,04/11/2033,P<USASILVEIRA<<SARA<<<<<<<<<<<<<<<<<<<<<<<<<,WJ373978<7USA6604288F331104<<<<<<<<<<<<<<<<<,634805125,Sara Silveira
TH851099,MORAES,ALEXANDRE,31/07/1982,M,CARDOSO/TO,BENICIO DA CRUZ,ISAAC FARIAS,SR/PF/TO,27/08/2024,25/08/2034,P<USAMORAES<<ALEXANDRE<<<<<<<<<<<<<<<<<<<<<<,TH851099<7USA8207318M340825<<<<<<<<<<<<<<<<<,784261301,Alexandre Moraes
BC547276,MELO,FELIPE,28/06/1951,M,MOURA DO GALHO/RN,OLIVIA PINTO,MATHEUS SOUSA,SR/PF/RN,11/03/2024,09/03/2034,P<USAMELO<<FELIPE<<<<<<<<<<<<<<<<<<<<<<<<<<<,BC547276<7USA5106288M340309<<<<<<<<<<<<<<<<<,634270151,Felipe Melo
NX204294,DA ROCHA,MIGUEL,15/02/2005,M,DAS NEVES/PE,DR. NOAH DA CUNHA,LUIZA ABREU,SR/PF/PE,21/09/2025,19/09/2035,P<USADA<ROCHA<<MIGUEL<<<<<<<<<<<<<<<<<<<<<<<,NX204294<7USA0502158M350919<<<<<<<<<<<<<<<<<,320541861,Miguel Da Rocha
BC877649,CAMARA,ENZO GABRIEL,04/01/1970,M,FONSECA DO NORTE/ES,ISABELA MOREIRA,LUIZ FERNANDO MELO,SR/PF/ES,01/01/2022,30/12/2031,P<USACAMARA<<ENZO<GABRIEL<<<<<<<<<<<<<<<<<<<,BC877649<7USA7001048M311230<<<<<<<<<<<<<<<<<,036721451,Enzo Gabriel Camara
QX607117,DA PAZ,EVELYN,14/03/1973,F,RIBEIRO/MA,VINICIUS CALDEIRA,CLARA DA CONCEICAO,SR/PF/MA,07/05/2025,05/05/2035,P<USADA<PAZ<<EVELYN<<<<<<<<<<<<<<<<<<<<<<<<<,QX607117<7USA7303148F350505<<<<<<<<<<<<<<<<<,801247561,Evelyn Da Paz
IE965210,PACHECO,LARISSA,15/07/2005,F,PACHECO/PA,JOAQUIM MENDONCA,DR. DAVI LUCCA FERNANDES,SR/PF/PA,17/08/2021,15/08/2031,P<USAPACHECO<<LARISSA<<<<<<<<<<<<<<<<<<<<<<<,IE965210<7USA0507158F310815<<<<<<<<<<<<<<<<<,532710460,Larissa Pacheco
HQ800254,PASTOR,DANILO,08/07/2005,M,CAVALCANTI DOS DOURADOS/AP,DR. MARCELO DA COSTA,ANA SOPHIA PEIXOTO,SR/PF/AP,16/05/2025,14/05/2035,P<USAPASTOR<<DANILO<<<<<<<<<<<<<<<<<<<<<<<<<,HQ800254<7USA0507088M350514<<<<<<<<<<<<<<<<<,582047638,Danilo Pastor
CQ978014,CAMARGO,CARLOS EDUARDO,27/07/1988,M,NOVAES DO NORTE/RN,RODRIGO ARAGAO,ERICK CIRINO,SR/PF/RN,20/05/2023,17/05/2033,P<USACAMARGO<<CARLOS<EDUARDO<<<<<<<<<<<<<<<<,CQ978014<7USA8807278M330517<<<<<<<<<<<<<<<<<,870453622,Carlos Eduardo Camargo
XW533722,MENDES,FELIPE,22/07/1985,M,COSTELA DO CAMPO/BA,GAEL HENRIQUE TEIXEIRA,BENTO DA CUNHA,SR/PF/BA,14/04/2023,11/04/2033,P<USAMENDES<<FELIPE<<<<<<<<<<<<<<<<<<<<<<<<<,XW533722<7USA8507228M330411<<<<<<<<<<<<<<<<<,023748515,Felipe Mendes
PV105622,CORREIA,LUIZ OTAVIO,26/09/1993,M,ARAGAO/PA,PIETRO CAVALCANTI,LEO FOGACA,SR/PF/PA,11/02/2025,09/02/2035,P<USACORREIA<<LUIZ<OTAVIO<<<<<<<<<<<<<<<<<<<,PV105622<7USA9309268M350209<<<<<<<<<<<<<<<<<,270145680,Luiz Otavio Correia
YD411325,CAVALCANTE,GUSTAVO,30/10/2001,M,FONSECA DE MARQUES/MA,DANTE CUNHA,SR. LUIZ GUSTAVO TEIXEIRA,SR/PF/MA,19/08/2023,16/08/2033,P<USACAVALCANTE<<GUSTAVO<<<<<<<<<<<<<<<<<<<<,YD411325<7USA0110308M330816<<<<<<<<<<<<<<<<<,567238015,Gustavo Cavalcante
QC214108,CAVALCANTI,APOLLO,21/10/2007,M,ALBUQUERQUE DE PIMENTA/SP,SRTA. MARIANE NUNES,ANA LUIZA FARIAS,SR/PF/SP,25/03/2025,23/03/2035,P<USACAVALCANTI<<APOLLO<<<<<<<<<<<<<<<<<<<<<,QC214108<7USA0710218M350323<<<<<<<<<<<<<<<<<,387452011,Apollo Cavalcanti
BG664204,DA ROSA,DAVI,28/01/1954,M,PORTO DOS DOURADOS/RO,LUCAS GABRIEL FERREIRA,AYLA FOGACA,SR/PF/RO,22/11/2021,20/11/2031,P<USADA<ROSA<<DAVI<<<<<<<<<<<<<<<<<<<<<<<<<<,BG664204<7USA5401288M311120<<<<<<<<<<<<<<<<<,386472506,Davi Da Rosa
KI816735,SILVA,LUANA,13/08/1989,F,PEIXOTO DA MATA/SE,GAEL HENRIQUE ARAGAO,SRTA. MIRELLA DA MOTA,SR/PF/SE,23/03/2024,21/03/2034,P<USASILVA<<LUANA<<<<<<<<<<<<<<<<<<<<<<<<<<<,KI816735<7USA8908138F340321<<<<<<<<<<<<<<<<<,206158439,Luana Silva
XR062483,SA,ENZO GABRIEL,14/02/1963,M,DA PAZ DO AMPARO/AP,ANA CECILIA DAS NEVES,MARCELO ABREU,SR/PF/AP,03/05/2023,30/04/2033,P<USASA<<ENZO<GABRIEL<<<<<<<<<<<<<<<<<<<<<<<,XR062483<7USA6302148M330430<<<<<<<<<<<<<<<<<,863047257,Enzo Gabriel Sa
XB217540,ARAUJO,CATARINA,27/10/2004,F,FARIAS/RR,LUCAS GABRIEL OLIVEIRA,BRYAN CAMARA,SR/PF/RR,06/03/2024,04/03/2034,P<USAARAUJO<<CATARINA<<<<<<<<<<<<<<<<<<<<<<<,XB217540<7USA0410278F340304<<<<<<<<<<<<<<<<<,714530281,Catarina Araujo
KO947102,PASTOR,HADASSA,08/03/1974,F,ARAUJO/AC,SRA. MARIANA VIANA,ALICIA NUNES,SR/PF/AC,27/02/2023,24/02/2033,P<USAPASTOR<<HADASSA<<<<<<<<<<<<<<<<<<<<<<<<,KO947102<7USA7403088F330224<<<<<<<<<<<<<<<<<,728564130,Hadassa Pastor
JQ215300,MORAES,VITOR HUGO,18/06/1963,M,SIQUEIRA/CE,DR. PAULO MOURA,GAEL HENRIQUE SOUZA,SR/PF/CE,20/02/2022,18/02/2032,P<USAMORAES<<VITOR<HUGO<<<<<<<<<<<<<<<<<<<<<,JQ215300<7USA6306188M320218<<<<<<<<<<<<<<<<<,402153868,Vitor Hugo Moraes
FD560892,NOGUEIRA,GUILHERME,26/12/2000,M,PEIXOTO DO CAMPO/MS,NICOLE NOGUEIRA,JOANA SANTOS,SR/PF/MS,01/06/2025,30/05/2035,P<USANOGUEIRA<<GUILHERME<<<<<<<<<<<<<<<<<<<<,FD560892<7USA0012268M350530<<<<<<<<<<<<<<<<<,683247505,Guilherme Nogueira
GB257092,FERNANDES,REBECA,06/10/1998,F,CAMPOS/AM,MARIAH OLIVEIRA,CLARA RAMOS,SR/PF/AM,09/08/2023,06/08/2033,P<USAFERNANDES<<REBECA<<<<<<<<<<<<<<<<<<<<<<,GB257092<7USA9810068F330806<<<<<<<<<<<<<<<<<,704861239,Rebeca Fernandes
AH308244,MONTENEGRO,CECILIA,15/11/2004,F,SA DO GALHO/AC,JOAO VITOR LOPES,BENJAMIM PEIXOTO,SR/PF/AC,22/01/2025,20/01/2035,P<USAMONTENEGRO<<CECILIA<<<<<<<<<<<<<<<<<<<<,AH308244<7USA0411158F350120<<<<<<<<<<<<<<<<<,813054278,Cecilia Montenegro
ZQ490974,BRITO,MARIA FLOR,04/08/2003,F,SAMPAIO/RR,ANA CLARA DA CUNHA,LIAM COSTA,SR/PF/RR,11/05/2024,09/05/2034,P<USABRITO<<MARIA<FLOR<<<<<<<<<<<<<<<<<<<<<<,ZQ490974<7USA0308048F340509<<<<<<<<<<<<<<<<<,715082644,Maria Flor Brito
AR734280,BRITO,THALES,28/03/1956,M,AZEVEDO/AP,JOAO PEDRO ANDRADE,SRA. RAFAELA COSTA,SR/PF/AP,28/08/2022,25/08/2032,P<USABRITO<<THALES<<<<<<<<<<<<<<<<<<<<<<<<<<,AR734280<7USA5603288M320825<<<<<<<<<<<<<<<<<,657480216,Thales Brito
RH851832,SA,ELISA,20/12/1991,F,SILVEIRA/RR,CECILIA SOUZA,ISABELLA CARVALHO,SR/PF/RR,15/09/2021,13/09/2031,P<USASA<<ELISA<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<,RH851832<7USA9112208F310913<<<<<<<<<<<<<<<<<,604123759,Elisa Sa
GL246647,DA ROSA,LARA,23/04/1975,F,NOVAIS DAS PEDRAS/SC,DAVI LUIZ BARROS,LIAM VARGAS,SR/PF/SC,30/11/2025,28/11/2035,P<USADA<ROSA<<LARA<<<<<<<<<<<<<<<<<<<<<<<<<<,GL246647<7USA7504238F351128<<<<<<<<<<<<<<<<<,853106745,Lara Da Rosa
CX270597,CAMPOS,ANTONY,23/11/2006,M,BARBOSA/PE,ELOA CAMARA,MAITE FERREIRA,SR/PF/PE,08/07/2024,06/07/2034,P<USACAMPOS<<ANTONY<<<<<<<<<<<<<<<<<<<<<<<<<,CX270597<7USA0611238M340706<<<<<<<<<<<<<<<<<,402758614,Antony Campos
OM340787,MOREIRA,JOSE,20/06/2005,M,RAMOS DA SERRA/RO,ISIS GOMES,VALENTIM SILVEIRA,SR/PF/RO,10/06/2023,07/06/2033,P<USAMOREIRA<<JOSE<<<<<<<<<<<<<<<<<<<<<<<<<<,OM340787<7USA0506208M330607<<<<<<<<<<<<<<<<<,637802159,Jose Moreira
YP627541,VIEIRA,ERICK,20/12/2001,M,ABREU/RN,SR. DAVI LUCCA SIQUEIRA,RHAVI MARTINS,SR/PF/RN,17/06/2024,15/06/2034,P<USAVIEIRA<<ERICK<<<<<<<<<<<<<<<<<<<<<<<<<<,YP627541<7USA0112208M340615<<<<<<<<<<<<<<<<<,816057424,Erick Vieira
HK495414,NUNES,BARBARA,02/06/1955,F,ARAGAO/MG,SR. CAUE MONTEIRO,SABRINA LIMA,SR/PF/MG,15/03/2021,13/03/2031,P<USANUNES<<BARBARA<<<<<<<<<<<<<<<<<<<<<<<<<,HK495414<7USA5506028F310313<<<<<<<<<<<<<<<<<,308467127,Barbara Nunes
